EW,,NS,
-42.27655678,178.2955968,-44.11352065,58.66250587
-41.6806184,347.3411569,-41.57186815,189.2808911
-40.7706044,315.2259689,-40.96591127,262.2079878
-38.44322344,336.2817689,-39.67825288,49.81768292
-37.75869963,267.1811192,-38.4859766,198.5714486
-34.60989011,366.0648338,-39.96439919,167.1312153
-33.30929487,327.6159052,-37.74026198,259.2546504
-30.88303826,346.7670897,-35.61717643,318.7491388
-27.61721612,334.2149805,-34.79786863,253.6918663
-24.75274725,338.070782,-32.34575374,328.6030395
-22.41015466,451.3566486,-31.52308311,259.5647403
-19.18528694,378.4490115,-28.37547372,298.1053567
-19.27655678,531.8516073,-25.58554722,440.520863
-15.48885836,509.9117479,-25.30734942,326.8210901
-15.03250916,478.1402155,-21.27904529,394.0153296
-12.29441392,595.1269735,-21.54884038,343.1329094
-9.678812416,839.2623209,-18.37541328,438.8772542
-10.33211233,655.9163569,-18.81818704,344.8059774
-7.521001221,1096.548128,-16.75793362,531.5623586
-8.0503663,877.0466955,-14.0409063,572.2361016
-6.352747253,1403.492303,-11.41480166,667.3732832
5.718341183,1845.975372,-10.24095146,897.2510315
6.187728938,1383.711309,-8.761444982,1125.470671
6.735347985,1108.088234,-6.056061708,1585.981743
8.350824176,896.8295308,-6.914500632,1129.530619
10.47741148,818.7318349,-6.342208016,1969.554357
11.11630037,597.6690275,7.306970869,1808.514
14.12820513,471.3544823,8.394326838,1318.456207
17.24278846,467.2494929,9.571928951,1043.968041
19.05677656,342.7255728,10.77454385,795.7501438
18.78296703,468.1352611,12.60067756,651.6002592
22.00549451,323.7805908,14.2823374,502.8277622
24.99844322,306.0881989,16.2633503,425.5915453
27.72741148,317.7247888,17.73223468,318.0556334
30.14606227,284.8259462,19.47699345,400.0950483
32.09010989,244.7927052,21.29134971,338.5697919
35.12026862,226.9260662,23.54577384,266.5634874
37.12820513,274.5306415,23.47423726,386.5282953
39.6533374,259.4339595,26.29635522,282.9264169
41.44070513,277.0294145,28.32551774,223.6256037
43.26153846,273.1443481,31.06765665,224.2618309
,,32.11585576,199.4868204
,,34.13159753,150.0755229
,,34.57671401,225.5596673
,,37.28079662,157.3591453
,,38.04623799,212.5115908
,,40.33330444,170.0882336
,,39.58427439,217.8456482
,,41.15807909,53.51012919
,,42.07374727,123.1927975
,,42.87495693,158.8349741
